"Indicação de data e hora","Você utiliza um smartphone ou tablet Android","Você possui algum animal doméstico","Você tem ou já teve intençção de adotar algum animal","Você já perdeu algum animal?","Você usaria um sistema ou aplicativo de busca/adoção de animais?"
"2016/08/12 10:28:15 PM GMT-3","Sim","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:28:19 PM GMT-3","Sim","Cachorro;Gato","Sim","Sim","Sim"
"2016/08/12 10:28:28 PM GMT-3","Sim","Não tenho","Sim","Não","Sim"
"2016/08/12 10:28:28 PM GMT-3","Sim","Gato","Sim","Sim","Sim"
"2016/08/12 10:28:40 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/12 10:28:41 PM GMT-3","Sim","Gato","Sim","Não","Sim"
"2016/08/12 10:28:52 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/12 10:29:02 PM GMT-3","Sim","Não tenho","Sim","Não","Sim"
"2016/08/12 10:29:17 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/12 10:29:30 PM GMT-3","Sim","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:29:30 PM GMT-3","Não","Cachorro","Não","Não","Não"
"2016/08/12 10:29:42 PM GMT-3","Sim","Cachorro;Gato","Sim","Sim","Sim"
"2016/08/12 10:29:42 PM GMT-3","Sim","Cachorro","Não","Não","Sim"
"2016/08/12 10:29:54 PM GMT-3","Sim","Cachorro;Gato","Sim","Não","Sim"
"2016/08/12 10:30:02 PM GMT-3","Sim","Cachorro;Gato","Sim","Sim","Talvez"
"2016/08/12 10:30:03 PM GMT-3","Sim","Cachorro","Sim","Não","Talvez"
"2016/08/12 10:30:14 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/12 10:30:14 PM GMT-3","Sim","Não tenho","Não","Não","Não"
"2016/08/12 10:30:29 PM GMT-3","Sim","Cachorro","Não","Sim","Não"
"2016/08/12 10:30:39 PM GMT-3","Sim","Gato","Sim","Sim","Sim"
"2016/08/12 10:30:49 PM GMT-3","Não","Não tenho","Sim","Sim","Sim"
"2016/08/12 10:30:49 PM GMT-3","Sim","Não tenho","Não","Não","Não"
"2016/08/12 10:31:02 PM GMT-3","Não","Outro","Sim","Sim","Sim"
"2016/08/12 10:31:07 PM GMT-3","Sim","Cachorro","Não","Não","Não"
"2016/08/12 10:31:15 PM GMT-3","Sim","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:31:17 PM GMT-3","Sim","Não tenho","Sim","Não","Sim"
"2016/08/12 10:31:30 PM GMT-3","Sim","Não tenho","Sim","Não","Talvez"
"2016/08/12 10:31:30 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/12 10:31:40 PM GMT-3","Sim","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:31:46 PM GMT-3","Sim","Outro","Sim","Sim","Sim"
"2016/08/12 10:32:00 PM GMT-3","Sim","Não tenho","Sim","Sim","Sim"
"2016/08/12 10:32:01 PM GMT-3","Sim","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:32:24 PM GMT-3","Sim","Não tenho","Sim","Não","Sim"
"2016/08/12 10:32:32 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/12 10:32:37 PM GMT-3","Sim","Não tenho","Sim","Não","Talvez"
"2016/08/12 10:32:44 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/12 10:32:56 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/12 10:32:59 PM GMT-3","Sim","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:33:12 PM GMT-3","Sim","Não tenho","Sim","Não","Sim"
"2016/08/12 10:33:17 PM GMT-3","Sim","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:33:25 PM GMT-3","Sim","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:33:32 PM GMT-3","Sim","Não tenho","Não","Sim","Talvez"
"2016/08/12 10:33:46 PM GMT-3","Sim","Cachorro;Outro","Não","Não","Sim"
"2016/08/12 10:33:57 PM GMT-3","Sim","Cachorro","Não","Não","Sim"
"2016/08/12 10:34:00 PM GMT-3","Sim","Cachorro;Gato","Não","Não","Talvez"
